Model,Accuracy,Precision,Recall,F1 Score,TN,FP,FN,TP
XGBoost,0.9973509933774835,0.9666666666666667,1.0,0.9830508474576272,695,2,0,58
Random Forest,0.9973509933774835,0.9666666666666667,1.0,0.9830508474576272,695,2,0,58
Logistic Regression,0.9735099337748344,0.75,0.9827586206896551,0.8507462686567164,678,19,1,57
Decision Tree,0.9960264900662251,0.9508196721311475,1.0,0.9747899159663865,694,3,0,58
SVM,0.9615894039735099,0.6883116883116883,0.9137931034482759,0.7851851851851852,673,24,5,53
